link_id,source_entity,source_id,target_entity,target_id,link_type,confidence,supporting_evidence,risk_score
LNK-A47046E9,INCIDENT,INC-8701EC71,INCIDENT,INC-403FDB4C,TEMPORAL_OVERLAP,80.0,"Same route, 1-day temporal proximity, same species.",80.0
LNK-F8F3E04C,INCIDENT,INC-A82CC362,INCIDENT,INC-92F2DDB3,TEMPORAL_OVERLAP,80.0,"Same route, 14-day temporal proximity, same species.",80.0
LNK-23BA27DF,INCIDENT,INC-92F2DDB3,INCIDENT,INC-1890EF7F,TEMPORAL_OVERLAP,80.0,"Same route, 3-day temporal proximity, same species.",80.0
LNK-AFAF7E77,INCIDENT,INC-0080E45A,INCIDENT,INC-70444A14,TEMPORAL_OVERLAP,80.0,"Same route, 12-day temporal proximity, same species.",80.0
LNK-A1ED52C1,INCIDENT,INC-1773DDC0,INCIDENT,INC-43C37A4A,TEMPORAL_OVERLAP,80.0,"Same route, 12-day temporal proximity, same species.",80.0
LNK-0095F15E,INCIDENT,INC-589AB78F,INCIDENT,INC-43C37A4A,TEMPORAL_OVERLAP,80.0,"Same route, 10-day temporal proximity, same species.",80.0
LNK-C41B34CF,INCIDENT,INC-A87B0AD0,INCIDENT,INC-30BA3CAE,TEMPORAL_OVERLAP,80.0,"Same route, 6-day temporal proximity, same species.",80.0
LNK-A200520D,INCIDENT,INC-1531B1ED,INCIDENT,INC-060C103D,TEMPORAL_OVERLAP,80.0,"Same route, 5-day temporal proximity, same species.",80.0
LNK-7781EB7A,INCIDENT,INC-CA1AE4F9,INCIDENT,INC-BF83886D,TEMPORAL_OVERLAP,80.0,"Same route, 1-day temporal proximity, same species.",80.0
LNK-3B4E3FF6,INCIDENT,INC-41438DE4,INCIDENT,INC-9DA78801,TEMPORAL_OVERLAP,80.0,"Same route, 9-day temporal proximity, same species.",80.0
LNK-B3178525,INCIDENT,INC-BC46527B,INCIDENT,INC-EF857B06,TEMPORAL_OVERLAP,80.0,"Same route, 1-day temporal proximity, same species.",80.0
LNK-A1D2503D,INCIDENT,INC-1773DDC0,INCIDENT,INC-589AB78F,TEMPORAL_OVERLAP,80.0,"Same route, 2-day temporal proximity, same species.",80.0
LNK-4CDA948C,ACTOR,ACT-DUP-0009,ACTOR,ACT-DUP-0010,ENTITY_MATCH,87.24,"Similar name (90%); Same nationality (Mozambican); Same region (Uganda); Shared corridor (Kochi Port–Maputo, Chennai Port–Mombasa)",78.52
LNK-B2A0B38E,ACTOR,ACT-DUP-0005,ACTOR,ACT-DUP-0006,ENTITY_MATCH,85.73,"Similar name (88%); Same nationality (Mozambican); Same region (Mozambique); Shared corridor (Kochi Port–Dar es Salaam, Mumbai Port–Durban)",77.16
LNK-105D0D6A,INCIDENT,INC-A90DF55B,INCIDENT,INC-C36D97AB,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F70E04EC.,75.0
LNK-3A51BFE4,INCIDENT,INC-5A9D0819,INCIDENT,INC-10F98BB7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F73F1F34.,75.0
LNK-6E7E0CD2,INCIDENT,INC-6E3D7227,INCIDENT,INC-5190CCE5,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-FD05814E.,75.0
LNK-D5D72AB2,INCIDENT,INC-E8CE8DB8,INCIDENT,INC-BC46527B,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0008.,75.0
LNK-3FBA883A,INCIDENT,INC-A90DF55B,INCIDENT,INC-4C48EFFC,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F70E04EC.,75.0
LNK-25D1DA7D,INCIDENT,INC-D6764190,INCIDENT,INC-822B9C23,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0009.,75.0
LNK-7204B7FB,INCIDENT,INC-01D7FC4F,INCIDENT,INC-43C37A4A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EBD0B65D.,75.0
LNK-9B48BA4D,INCIDENT,INC-01D7FC4F,INCIDENT,INC-FD151C94,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EBD0B65D.,75.0
LNK-EE781061,INCIDENT,INC-01D7FC4F,INCIDENT,INC-0153BECF,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EBD0B65D.,75.0
LNK-B55FF724,INCIDENT,INC-A03A3F0C,INCIDENT,INC-6FDD3514,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F702EB53.,75.0
LNK-2F4BECDB,INCIDENT,INC-A03A3F0C,INCIDENT,INC-910E86C3,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F702EB53.,75.0
LNK-40B4A0FC,INCIDENT,INC-6FDD3514,INCIDENT,INC-910E86C3,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F702EB53.,75.0
LNK-54C60138,INCIDENT,INC-A23E05D2,INCIDENT,INC-9C8F005B,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F513E9F2.,75.0
LNK-D899D645,INCIDENT,INC-A90DF55B,INCIDENT,INC-5F1EE080,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F70E04EC.,75.0
LNK-C242AF7F,INCIDENT,INC-A90DF55B,INCIDENT,INC-ACD8DFCD,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-F70E04EC.,75.0
LNK-E22247D9,INCIDENT,INC-4A35725C,INCIDENT,INC-28275C25,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-130BC3BE.,75.0
LNK-73DCD6E1,INCIDENT,INC-B5390996,INCIDENT,INC-DC742503,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-001930AF.,75.0
LNK-5AC4C398,INCIDENT,INC-C431ADBC,INCIDENT,INC-83C84C75,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EB994163.,75.0
LNK-517F6F05,INCIDENT,INC-FE7DD637,INCIDENT,INC-CA1AE4F9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-157A0D7D.,75.0
LNK-887CE7D8,INCIDENT,INC-01D7FC4F,INCIDENT,INC-1773DDC0,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EBD0B65D.,75.0
LNK-21D5653E,INCIDENT,INC-1B2B6136,INCIDENT,INC-08138381,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-130BC3BE.,75.0
LNK-DEE03763,INCIDENT,INC-47ED0F0D,INCIDENT,INC-9FA1225A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CFAB48FB.,75.0
LNK-543B486C,INCIDENT,INC-32161C4F,INCIDENT,INC-6391E51B,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0005.,75.0
LNK-08A00DB7,INCIDENT,INC-32161C4F,INCIDENT,INC-6643099B,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0005.,75.0
LNK-4376B221,INCIDENT,INC-3ED8334F,INCIDENT,INC-A5B18D16,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0006.,75.0
LNK-38426E18,INCIDENT,INC-3ED8334F,INCIDENT,INC-EF577071,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0006.,75.0
LNK-2EF46C46,INCIDENT,INC-3ED8334F,INCIDENT,INC-403FDB4C,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0006.,75.0
LNK-67D38250,INCIDENT,INC-3ED8334F,INCIDENT,INC-F97EDDD5,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0006.,75.0
LNK-B544207B,INCIDENT,INC-1D3F2B36,INCIDENT,INC-BD8D0EED,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0007.,75.0
LNK-E082EFD8,INCIDENT,INC-1D3F2B36,INCIDENT,INC-DC1DE291,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0007.,75.0
LNK-1CEE3D81,INCIDENT,INC-1D3F2B36,INCIDENT,INC-30714B3F,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0007.,75.0
LNK-C75745E7,INCIDENT,INC-1D3F2B36,INCIDENT,INC-40171DBA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0007.,75.0
LNK-9CAE054B,INCIDENT,INC-E8CE8DB8,INCIDENT,INC-063C1F2C,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0008.,75.0
LNK-4B1C0172,INCIDENT,INC-E8CE8DB8,INCIDENT,INC-FF21C80A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0008.,75.0
LNK-52CEBD99,INCIDENT,INC-E8CE8DB8,INCIDENT,INC-84D99EB6,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0008.,75.0
LNK-E0ED0DB9,INCIDENT,INC-0EC4B271,INCIDENT,INC-0AA68A2E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DD3ED62E.,75.0
LNK-92486587,INCIDENT,INC-6D25D6CE,INCIDENT,INC-3911A5DD,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0001.,75.0
LNK-675F6421,INCIDENT,INC-6D25D6CE,INCIDENT,INC-C34BD297,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0001.,75.0
LNK-721368E2,INCIDENT,INC-6D25D6CE,INCIDENT,INC-8946B5F9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0001.,75.0
LNK-BB9C6BA2,INCIDENT,INC-6D25D6CE,INCIDENT,INC-DABFAEBC,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0001.,75.0
LNK-B7195196,INCIDENT,INC-CFDECC5B,INCIDENT,INC-5B989C61,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0002.,75.0
LNK-91A16414,INCIDENT,INC-CFDECC5B,INCIDENT,INC-D7D8E05F,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0002.,75.0
LNK-A6591A55,INCIDENT,INC-CFDECC5B,INCIDENT,INC-94B20477,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0002.,75.0
LNK-07C353A0,INCIDENT,INC-CFDECC5B,INCIDENT,INC-A8E89DAC,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0002.,75.0
LNK-5343BBB9,INCIDENT,INC-D7628F86,INCIDENT,INC-FE66FC1A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0003.,75.0
LNK-B64C9C4C,INCIDENT,INC-D7628F86,INCIDENT,INC-17AA367E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0003.,75.0
LNK-CCB4F3AF,INCIDENT,INC-D7628F86,INCIDENT,INC-1B0E87B2,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0003.,75.0
LNK-E703F44F,INCIDENT,INC-FE66FC1A,INCIDENT,INC-17AA367E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0003.,75.0
LNK-BA103A65,INCIDENT,INC-2E6A776F,INCIDENT,INC-10F165CA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0004.,75.0
LNK-DA81571A,INCIDENT,INC-2E6A776F,INCIDENT,INC-60F32002,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0004.,75.0
LNK-D6E01391,INCIDENT,INC-2E6A776F,INCIDENT,INC-E52BE33F,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0004.,75.0
LNK-90DEB13B,INCIDENT,INC-5E8DF0E8,INCIDENT,INC-47ED0F0D,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CFAB48FB.,75.0
LNK-7B2B57E9,INCIDENT,INC-5E8DF0E8,INCIDENT,INC-9FA1225A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CFAB48FB.,75.0
LNK-DCCAE8DC,INCIDENT,INC-5BEA51F2,INCIDENT,INC-0D75271F,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADF3339E.,75.0
LNK-9CD12D85,INCIDENT,INC-D394A13C,INCIDENT,INC-3C7F2D1E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-D404B1E6.,75.0
LNK-76EAA82D,INCIDENT,INC-D394A13C,INCIDENT,INC-CD369185,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-D404B1E6.,75.0
LNK-EF952886,INCIDENT,INC-D394A13C,INCIDENT,INC-CD4B4FDB,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-D404B1E6.,75.0
LNK-ECECFD40,INCIDENT,INC-D394A13C,INCIDENT,INC-9D2BA2B7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-D404B1E6.,75.0
LNK-D1C26C3F,INCIDENT,INC-13B7BC4E,INCIDENT,INC-5A1F8BFD,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-D4295B58.,75.0
LNK-33D4DD9D,INCIDENT,INC-42FE4868,INCIDENT,INC-15FBD001,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DB3AAE2B.,75.0
LNK-B81DE4AC,INCIDENT,INC-1F9B79FA,INCIDENT,INC-F7233FDE,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DC4BFFE4.,75.0
LNK-D9BAAB50,INCIDENT,INC-1F9B79FA,INCIDENT,INC-2005D018,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DC4BFFE4.,75.0
LNK-4933C27A,INCIDENT,INC-1F9B79FA,INCIDENT,INC-48AB8F6C,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DC4BFFE4.,75.0
LNK-3D617155,INCIDENT,INC-1F9B79FA,INCIDENT,INC-613CD097,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DC4BFFE4.,75.0
LNK-675E817D,INCIDENT,INC-0EC4B271,INCIDENT,INC-2E288468,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DD3ED62E.,75.0
LNK-5D3D41F5,INCIDENT,INC-0EC4B271,INCIDENT,INC-90E24B50,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DD3ED62E.,75.0
LNK-E97A249D,INCIDENT,INC-0EC4B271,INCIDENT,INC-0080E45A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DD3ED62E.,75.0
LNK-013B3E89,INCIDENT,INC-FD6591F7,INCIDENT,INC-97AFBC25,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADB13586.,75.0
LNK-DBC55B23,INCIDENT,INC-D6764190,INCIDENT,INC-9A927874,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0009.,75.0
LNK-2937AE9B,INCIDENT,INC-9F6FAE88,INCIDENT,INC-4CC681DB,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-E039AAEB.,75.0
LNK-B460D338,INCIDENT,INC-D6764190,INCIDENT,INC-4A1D04B0,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0009.,75.0
LNK-39BA934E,INCIDENT,INC-9A927874,INCIDENT,INC-822B9C23,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0009.,75.0
LNK-FA3BE851,INCIDENT,INC-3B76D32D,INCIDENT,INC-BE5B30E7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0010.,75.0
LNK-92CA8172,INCIDENT,INC-3B76D32D,INCIDENT,INC-CDA89BFA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0010.,75.0
LNK-5C8B6E84,INCIDENT,INC-3B76D32D,INCIDENT,INC-877EF9A7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0010.,75.0
LNK-0AAFD35A,INCIDENT,INC-3B76D32D,INCIDENT,INC-8FA93DB2,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0010.,75.0
LNK-6B4619D8,INCIDENT,INC-9F6FAE88,INCIDENT,INC-2CE068AA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-E039AAEB.,75.0
LNK-DA8490D8,INCIDENT,INC-CFB16B32,INCIDENT,INC-72CC895D,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EA441661.,75.0
LNK-099C7D96,INCIDENT,INC-9F6FAE88,INCIDENT,INC-2199F6B6,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-E039AAEB.,75.0
LNK-EB8B889A,INCIDENT,INC-2CE068AA,INCIDENT,INC-4CC681DB,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-E039AAEB.,75.0
LNK-1510D24F,INCIDENT,INC-CFB16B32,INCIDENT,INC-D079FCB9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EA441661.,75.0
LNK-B560C2A9,INCIDENT,INC-2E6A776F,INCIDENT,INC-0EBE2272,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0004.,75.0
LNK-AA33C57C,INCIDENT,INC-D079FCB9,INCIDENT,INC-72CC895D,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-EA441661.,75.0
LNK-D32F4FC0,INCIDENT,INC-32161C4F,INCIDENT,INC-17D6DB38,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0005.,75.0
LNK-A58FB4CF,INCIDENT,INC-32161C4F,INCIDENT,INC-8701EC71,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-DUP-0005.,75.0
LNK-70D258D9,INCIDENT,INC-146BDA30,INCIDENT,INC-FB88CEDA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-45C722DA.,75.0
LNK-18FF5601,INCIDENT,INC-CC3301EE,INCIDENT,INC-4C54C68E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A19B3B13.,75.0
LNK-9C09449E,INCIDENT,INC-7FD2287E,INCIDENT,INC-9FEDC9C2,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CA6408EB.,75.0
LNK-D3D4A287,INCIDENT,INC-CC3301EE,INCIDENT,INC-6E06FEF9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A19B3B13.,75.0
LNK-5BEF91EB,INCIDENT,INC-4E39810E,INCIDENT,INC-7FD2287E,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CA6408EB.,75.0
LNK-888B4AA3,INCIDENT,INC-D24AB0E3,INCIDENT,INC-55173AC1,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-C48421F9.,75.0
LNK-286A4231,INCIDENT,INC-3B7B78A7,INCIDENT,INC-CDEF77A9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-C1CE62FB.,75.0
LNK-1B10FB5C,INCIDENT,INC-4E39810E,INCIDENT,INC-9FEDC9C2,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-CA6408EB.,75.0
LNK-9C016F39,INCIDENT,INC-E93DC79B,INCIDENT,INC-E2775A7D,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-BF767554.,75.0
LNK-148824EC,INCIDENT,INC-E93DC79B,INCIDENT,INC-C378F9D9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-BF767554.,75.0
LNK-62981CD1,INCIDENT,INC-A1D80761,INCIDENT,INC-8D8D900A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-B49444A6.,75.0
LNK-0C31B54D,INCIDENT,INC-F9FFB5E7,INCIDENT,INC-8D8D900A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-B49444A6.,75.0
LNK-6622A254,INCIDENT,INC-F9FFB5E7,INCIDENT,INC-A1D80761,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-B49444A6.,75.0
LNK-A8D3D164,INCIDENT,INC-C678EEF3,INCIDENT,INC-0B663344,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-B1A0AF66.,75.0
LNK-7EAFB688,INCIDENT,INC-2992C5A5,INCIDENT,INC-0D75271F,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADF3339E.,75.0
LNK-DAC6ADC3,INCIDENT,INC-C378F9D9,INCIDENT,INC-E2775A7D,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-BF767554.,75.0
LNK-3BDAC5FE,INCIDENT,INC-5BEA51F2,INCIDENT,INC-2992C5A5,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADF3339E.,75.0
LNK-BDBA70BB,INCIDENT,INC-CC3301EE,INCIDENT,INC-37FAC3CA,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A19B3B13.,75.0
LNK-C4E1C854,INCIDENT,INC-A87B0AD0,INCIDENT,INC-D3B016C3,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A3B509D1.,75.0
LNK-62E86126,INCIDENT,INC-CC3301EE,INCIDENT,INC-1531B1ED,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A19B3B13.,75.0
LNK-BF2A33FD,INCIDENT,INC-A87B0AD0,INCIDENT,INC-0BBF9870,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A3B509D1.,75.0
LNK-81B4F038,INCIDENT,INC-A87B0AD0,INCIDENT,INC-35C14236,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A3B509D1.,75.0
LNK-F0B4FD1F,INCIDENT,INC-728F0959,INCIDENT,INC-D6C72864,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A647D8DE.,75.0
LNK-6EE93CD1,INCIDENT,INC-A87B0AD0,INCIDENT,INC-15094649,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A3B509D1.,75.0
LNK-4C617D33,INCIDENT,INC-EA003C6C,INCIDENT,INC-18B3A5B0,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A7290540.,75.0
LNK-8B556BBC,INCIDENT,INC-EA003C6C,INCIDENT,INC-62F9706C,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A7290540.,75.0
LNK-6EE0FD67,INCIDENT,INC-EA003C6C,INCIDENT,INC-41438DE4,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A7290540.,75.0
LNK-B17688D3,INCIDENT,INC-9E289A1E,INCIDENT,INC-B8872C0C,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A9F1176D.,75.0
LNK-D56EA970,INCIDENT,INC-6DD32668,INCIDENT,INC-FD6591F7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADB13586.,75.0
LNK-50FC1C34,INCIDENT,INC-6DD32668,INCIDENT,INC-97AFBC25,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-ADB13586.,75.0
LNK-0DB627A8,INCIDENT,INC-BF08DBB6,INCIDENT,INC-E1E1AE41,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-802FEC44.,75.0
LNK-F88CF409,INCIDENT,INC-EA003C6C,INCIDENT,INC-B7B4001A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-A7290540.,75.0
LNK-B534A7C2,INCIDENT,INC-F3B15553,INCIDENT,INC-B23B2358,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-6F081E40.,75.0
LNK-25660A24,INCIDENT,INC-F3B15553,INCIDENT,INC-EE63DD43,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-6F081E40.,75.0
LNK-C12ED256,INCIDENT,INC-8A267DEE,INCIDENT,INC-B7149057,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-72D14581.,75.0
LNK-E53CE0D5,INCIDENT,INC-8A267DEE,INCIDENT,INC-B49586C7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-72D14581.,75.0
LNK-07861CDF,INCIDENT,INC-8A267DEE,INCIDENT,INC-9C20A615,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-72D14581.,75.0
LNK-348DC5E3,INCIDENT,INC-B7149057,INCIDENT,INC-B49586C7,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-72D14581.,75.0
LNK-9845ABEA,INCIDENT,INC-7A314C1F,INCIDENT,INC-C23A7161,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7353F8D0.,75.0
LNK-26A8EEC6,INCIDENT,INC-7A314C1F,INCIDENT,INC-3A7D94EE,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7353F8D0.,75.0
LNK-659896AF,INCIDENT,INC-7A314C1F,INCIDENT,INC-322254E2,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7353F8D0.,75.0
LNK-7D3B6CD3,INCIDENT,INC-C23A7161,INCIDENT,INC-3A7D94EE,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7353F8D0.,75.0
LNK-33D5241B,INCIDENT,INC-519C9B4B,INCIDENT,INC-78F43FAB,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7494AE24.,75.0
LNK-87E2FFCD,INCIDENT,INC-519C9B4B,INCIDENT,INC-D4E686B3,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7494AE24.,75.0
LNK-D50A14EE,INCIDENT,INC-519C9B4B,INCIDENT,INC-12FED95A,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7494AE24.,75.0
LNK-7510F4BB,INCIDENT,INC-519C9B4B,INCIDENT,INC-49772DB9,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-7494AE24.,75.0
LNK-B95D093C,INCIDENT,INC-30BA3CAE,INCIDENT,INC-1798C080,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-5535B8FF.,75.0
LNK-3F393D84,INCIDENT,INC-60CEEFAB,INCIDENT,INC-A5C21485,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-866A9666.,75.0
LNK-0804E8CC,INCIDENT,INC-1632354A,INCIDENT,INC-9F36A672,SHARED_ACTOR,78.0,Both incidents share lead actor ACT-898A30A1.,75.0
