event_id,protected_area,event_date,normal_movement,observed_movement,anomaly_score,latitude,longitude
EVT-F69EF8E0,Tsavo Ecosystem,2024-10-06,7.13,6.47,0.019,-2.18836,38.24462
EVT-D9932E96,Tsavo Ecosystem,2024-10-09,6.98,0.79,0.177,-1.8052,37.84113
EVT-B29D8934,Tsavo Ecosystem,2024-10-19,6.78,6.92,0.004,-1.96468,38.69401
EVT-7200813A,Sundarbans,2024-11-05,7.2,8.59,0.039,21.51984,88.62124
EVT-E69927E0,Serengeti Buffer,2024-11-07,3.53,2.21,0.075,-1.2349,34.7902
EVT-ECBFE1BC,Anamalai Tiger Reserve,2024-11-17,6.41,7.53,0.035,10.5493,76.9198
EVT-8AFA5B99,Sundarbans,2024-11-23,4.2,4.2,0.0,21.97135,89.11308
EVT-69845A6C,Anamalai Tiger Reserve,2024-12-03,5.42,5.63,0.008,10.37937,76.98018
EVT-570A950F,Sundarbans,2024-12-11,7.5,6.84,0.018,21.99081,89.48439
EVT-C5F1E15A,Sundarbans,2024-12-24,5.12,3.92,0.047,21.57794,88.7159
EVT-790F2172,Serengeti Buffer,2024-12-30,3.1,1.67,0.092,-1.08618,34.62098
EVT-C808D0FF,Anamalai Tiger Reserve,2025-01-01,6.0,7.42,0.047,10.4523,76.83125
EVT-754AB178,Nilgiri Biosphere,2025-01-03,3.56,3.71,0.008,11.12544,76.73533
EVT-F38FBBAF,Serengeti Buffer,2025-01-08,5.75,4.93,0.029,-1.09849,34.91867
EVT-829633F6,Serengeti Buffer,2025-01-12,6.17,23.45,0.56,-1.46713,34.86234
EVT-19C25DB6,Tsavo Ecosystem,2025-01-12,3.66,2.52,0.062,-3.05362,37.83472
EVT-E7DD0C42,Nilgiri Biosphere,2025-01-23,3.59,4.76,0.065,11.26037,76.18733
EVT-D21323B3,Tsavo Ecosystem,2025-01-30,7.45,0.43,0.188,-2.99381,39.10924
EVT-C8C5245E,Serengeti Buffer,2025-02-04,3.77,0.8,0.158,-3.23384,34.10858
EVT-2B0327EB,Sundarbans,2025-02-04,4.76,0.48,0.18,22.46124,88.95885
EVT-785206FD,Nilgiri Biosphere,2025-02-04,4.17,4.35,0.009,11.24985,76.40159
EVT-EFD4BEED,Nilgiri Biosphere,2025-02-12,4.83,16.32,0.476,11.60437,76.98791
EVT-B464478D,Serengeti Buffer,2025-02-21,3.71,4.44,0.039,-1.48106,35.02696
EVT-ABFC0D27,Serengeti Buffer,2025-02-23,3.37,2.17,0.071,-3.17215,34.86384
EVT-59F74A12,Sundarbans,2025-03-05,5.5,29.45,0.871,22.22614,89.05911
EVT-CC3F61A4,Nilgiri Biosphere,2025-03-22,2.89,3.89,0.069,11.04305,76.7452
EVT-725B10A2,Sundarbans,2025-03-30,4.16,2.98,0.057,22.16298,89.41287
EVT-90A42C28,Nilgiri Biosphere,2025-04-09,2.73,2.67,0.004,11.54472,76.6595
EVT-1D82CA13,Nilgiri Biosphere,2025-04-13,5.57,5.62,0.002,11.52631,77.17955
EVT-5F147172,Anamalai Tiger Reserve,2025-04-16,4.19,3.47,0.034,10.7633,77.06512
EVT-EE7E90F6,Serengeti Buffer,2025-04-21,4.22,18.81,0.691,-1.54053,34.7237
EVT-3D7B74A0,Tsavo Ecosystem,2025-05-05,7.86,6.66,0.031,-3.26831,38.2614
EVT-FDCF659D,Nilgiri Biosphere,2025-05-05,2.04,0.69,0.132,11.37799,76.14139
EVT-AF2A9F92,Nilgiri Biosphere,2025-05-11,2.32,2.39,0.006,11.43389,76.75863
EVT-57D208DC,Serengeti Buffer,2025-05-20,5.98,7.06,0.036,-1.40371,34.04286
EVT-C6BF6110,Nilgiri Biosphere,2025-05-30,3.83,3.74,0.005,11.14327,76.96514
EVT-4F17C2C1,Serengeti Buffer,2025-06-02,3.48,3.57,0.005,-1.18413,34.03223
EVT-6E7A4C02,Serengeti Buffer,2025-06-08,2.87,1.87,0.07,-2.78369,34.94757
EVT-04553147,Sundarbans,2025-06-09,5.0,5.56,0.022,22.2708,88.74872
EVT-F9760BB3,Tsavo Ecosystem,2025-06-15,2.9,2.88,0.001,-2.12765,37.96562
EVT-72BF1744,Tsavo Ecosystem,2025-07-01,5.2,5.5,0.012,-2.63921,38.81506
EVT-B7420354,Serengeti Buffer,2025-07-05,3.05,3.89,0.055,-2.06026,34.9737
EVT-9BB62645,Serengeti Buffer,2025-07-10,2.63,3.05,0.032,-1.62701,34.62278
EVT-95D6F803,Sundarbans,2025-07-21,2.68,2.42,0.019,22.18474,89.07602
EVT-91E9F667,Tsavo Ecosystem,2025-08-05,3.44,3.58,0.008,-1.89984,38.1469
EVT-A2AD96E4,Tsavo Ecosystem,2025-08-08,6.17,6.67,0.016,-2.367,39.4846
EVT-53CBF225,Sundarbans,2025-08-14,6.42,7.59,0.036,22.17319,88.98749
EVT-A40D4577,Nilgiri Biosphere,2025-08-15,7.37,6.62,0.02,11.34319,76.21792
EVT-393CD600,Sundarbans,2025-08-16,4.36,3.27,0.05,21.72558,88.84179
EVT-3641F9FC,Sundarbans,2025-09-01,2.88,2.18,0.049,21.58022,89.25057
EVT-64F98572,Nilgiri Biosphere,2025-09-05,3.66,20.3,0.909,11.77565,76.10421
EVT-B4624148,Serengeti Buffer,2025-09-08,7.77,7.61,0.004,-1.18463,34.38113
EVT-62F9F8DC,Nilgiri Biosphere,2025-09-08,5.29,3.87,0.054,10.86379,77.05443
EVT-97646488,Anamalai Tiger Reserve,2025-09-24,7.58,0.26,0.193,10.62445,76.91672
EVT-305831B2,Nilgiri Biosphere,2025-10-02,3.32,0.8,0.152,11.18267,76.94639
EVT-060C83DD,Tsavo Ecosystem,2025-10-03,7.95,26.32,0.462,-2.50126,38.72376
EVT-A55E09CA,Tsavo Ecosystem,2025-10-08,5.35,6.66,0.049,-1.95765,37.6214
EVT-19317E20,Serengeti Buffer,2025-10-30,3.45,2.75,0.041,-1.0073,34.78637
EVT-5C91EE87,Tsavo Ecosystem,2025-11-01,5.45,4.22,0.045,-1.56661,39.00568
EVT-4D066B1B,Tsavo Ecosystem,2025-11-05,6.63,6.17,0.014,-3.6195,37.61185
EVT-E3EAF66C,Tsavo Ecosystem,2025-11-12,6.73,7.5,0.023,-3.26485,39.46335
EVT-4DFC57DD,Sundarbans,2025-11-12,7.67,0.64,0.183,22.21161,89.09747
EVT-C13C63BB,Nilgiri Biosphere,2025-11-19,3.49,4.3,0.046,10.92196,76.92177
EVT-2C537D88,Serengeti Buffer,2025-11-24,6.41,0.75,0.177,-2.63911,35.05824
EVT-22C31875,Tsavo Ecosystem,2025-12-08,2.82,1.65,0.083,-3.3676,37.63693
EVT-75E00AE1,Tsavo Ecosystem,2025-12-12,3.12,3.12,0.0,-1.80642,38.56312
EVT-FB34461D,Nilgiri Biosphere,2025-12-29,7.09,6.62,0.013,10.80009,76.97846
EVT-47F302D1,Nilgiri Biosphere,2026-01-10,2.36,3.3,0.08,11.1984,76.82865
EVT-E7CBBAEE,Tsavo Ecosystem,2026-01-10,2.46,3.75,0.105,-2.25049,39.14215
EVT-B759D77C,Tsavo Ecosystem,2026-01-18,2.26,18.44,1.0,-2.5993,38.24075
EVT-9E5E2201,Tsavo Ecosystem,2026-01-31,5.85,5.52,0.011,-3.35928,37.56363
EVT-78804CA0,Serengeti Buffer,2026-02-22,2.79,0.2,0.186,-3.32789,34.56732
EVT-B10C9B39,Tsavo Ecosystem,2026-03-13,2.48,2.86,0.031,-1.89462,37.94118
EVT-09F1263F,Anamalai Tiger Reserve,2026-03-20,4.77,5.58,0.034,10.71633,76.82011
EVT-0B490E80,Anamalai Tiger Reserve,2026-03-20,6.35,24.21,0.563,10.45958,77.16542
EVT-78A2F526,Tsavo Ecosystem,2026-04-05,3.06,0.88,0.142,-1.89902,38.71102
EVT-372969E9,Tsavo Ecosystem,2026-04-12,5.91,18.92,0.44,-2.96678,37.80956
EVT-98674272,Tsavo Ecosystem,2026-04-18,3.86,3.4,0.024,-2.59604,38.77906
EVT-CB1FC2D3,Nilgiri Biosphere,2026-04-21,5.98,6.32,0.011,11.72019,76.81097
EVT-29EB128C,Serengeti Buffer,2026-04-21,4.7,5.66,0.041,-3.09914,34.79671
EVT-1848FA6F,Serengeti Buffer,2026-04-22,7.46,6.95,0.014,-3.11813,35.45581
EVT-710568AC,Anamalai Tiger Reserve,2026-05-02,5.28,6.03,0.028,10.71801,76.92713
EVT-96CFAFAC,Tsavo Ecosystem,2026-05-03,6.42,0.92,0.171,-2.45202,38.53549
EVT-16B07198,Tsavo Ecosystem,2026-05-04,2.62,3.5,0.067,-2.18413,38.35415
EVT-7423CB4D,Sundarbans,2026-05-12,6.89,5.48,0.041,22.37868,89.3904
EVT-42E8F776,Anamalai Tiger Reserve,2026-05-21,4.37,4.58,0.01,10.53665,76.91887
EVT-61787C21,Nilgiri Biosphere,2026-05-25,5.1,23.99,0.741,10.96634,77.10694
EVT-40E515D4,Serengeti Buffer,2026-05-26,5.79,6.2,0.014,-3.05741,34.89638
EVT-33E774AD,Tsavo Ecosystem,2026-05-30,5.26,5.23,0.001,-2.17476,38.61805
EVT-24C71760,Serengeti Buffer,2026-06-01,4.92,4.17,0.03,-2.16504,34.47359
EVT-FBA82EB5,Nilgiri Biosphere,2026-06-11,3.89,5.08,0.061,11.64801,76.44544
EVT-053F7F26,Serengeti Buffer,2026-06-14,5.85,4.46,0.048,-1.45121,34.14305
EVT-5E989B65,Serengeti Buffer,2026-06-21,2.07,1.2,0.084,-2.34982,35.03382
EVT-1BD97F55,Tsavo Ecosystem,2026-06-30,7.18,6.77,0.011,-3.17613,38.3898
EVT-23FA777E,Serengeti Buffer,2026-07-15,6.35,28.84,0.708,-1.85088,34.39678
EVT-FFBAE2AA,Anamalai Tiger Reserve,2026-07-19,4.81,5.91,0.046,10.58053,76.99421
EVT-24A3526A,Nilgiri Biosphere,2026-07-20,6.82,17.92,0.326,11.00171,76.78826
EVT-F38B8C0D,Tsavo Ecosystem,2026-07-24,6.62,7.36,0.022,-1.66043,37.74108
EVT-0BE5282E,Nilgiri Biosphere,2026-07-31,6.93,0.22,0.194,11.67851,76.87357
EVT-03F9BA86,Tsavo Ecosystem,2026-08-29,4.08,3.64,0.022,-2.89518,37.81401
EVT-5B48424E,Sundarbans,2026-08-30,5.01,5.95,0.038,21.7362,89.47824
EVT-32CBEF8E,Anamalai Tiger Reserve,2026-09-04,3.87,3.34,0.027,10.53098,77.20887
EVT-905CB6D5,Tsavo Ecosystem,2026-09-06,5.0,6.49,0.06,-1.94696,37.85321
EVT-F1DC073C,Sundarbans,2026-09-10,7.07,6.81,0.007,22.05008,89.49685
EVT-0531614D,Anamalai Tiger Reserve,2026-09-14,6.72,0.16,0.195,10.2702,77.10501
EVT-9DF420F9,Sundarbans,2026-09-28,3.75,3.05,0.037,21.72822,88.81688
EVT-7CDF0AD4,Tsavo Ecosystem,2026-09-30,3.5,4.14,0.037,-1.77103,38.37421
EVT-5A235A00,Serengeti Buffer,2026-10-14,3.02,0.36,0.176,-2.21047,34.34751
EVT-18BFD9ED,Serengeti Buffer,2026-10-14,3.57,2.54,0.058,-1.58751,34.12488
EVT-52D7D04E,Serengeti Buffer,2026-10-19,3.43,4.09,0.038,-1.35793,35.16402
EVT-14C5C6EE,Serengeti Buffer,2026-10-20,3.93,2.72,0.062,-2.79218,34.61471
EVT-F1C4AF23,Serengeti Buffer,2026-10-22,7.67,6.37,0.034,-2.8218,34.69744
EVT-6787EED7,Serengeti Buffer,2026-11-12,6.19,5.15,0.034,-2.08772,34.49025
EVT-2B39D138,Serengeti Buffer,2026-11-20,5.96,0.9,0.17,-1.61904,34.13978
EVT-B82E824E,Sundarbans,2026-11-27,3.61,4.95,0.074,21.85354,89.39432
EVT-C9291233,Nilgiri Biosphere,2026-12-07,7.13,5.7,0.04,11.10033,76.26626
EVT-059656F4,Nilgiri Biosphere,2026-12-07,3.04,4.02,0.064,11.52358,76.95149
