incident_id,incident_date,species,commodity,quantity,source_location,destination,route_id,lead_actor,seizure_status,latitude,longitude,network_id
INC-FE66FC1A,2024-09-26,Rhino,horn,9,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-DUP-0003,Not Seized,9.68776,76.73023,
INC-F7233FDE,2024-09-27,Rhino,horn,22,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-DC4BFFE4,Under Investigation,17.53601,83.44446,NET-03
INC-2C70FAE0,2024-09-27,Pangolin,scales,1,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-6C2A62E9,Seized,9.54167,76.12192,
INC-CE3FC3E6,2024-09-28,Elephant,ivory tusk,9,Chennai Port,Durban,RTE-A842284A,ACT-7A15D23A,Seized,12.86268,80.54019,
INC-BD8D0EED,2024-09-29,Pangolin,scales,17,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-DUP-0007,Not Seized,18.45319,72.45147,NET-05
INC-E52BE33F,2024-10-02,Rhino,horn,6,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0004,Not Seized,9.04473,77.90961,
INC-C23A7161,2024-10-07,Elephant,ivory tusk,7,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-7353F8D0,Seized,10.29132,76.54715,
INC-37FAC3CA,2024-10-13,Elephant,ivory tusk,2,Tuticorin Port,Maputo,RTE-15641305,ACT-A19B3B13,Not Seized,8.51349,78.04518,NET-02
INC-503191E9,2024-10-22,Pangolin,scales,6,Kochi Port,Durban,RTE-EFEFC83E,ACT-2BB3216C,Under Investigation,10.01743,76.27319,
INC-8EB5B84D,2024-10-23,Pangolin,scales,19,Mumbai Port,Dar es Salaam,RTE-8F0A4EBD,ACT-1DF99FFB,Not Seized,18.62692,72.7991,
INC-18B3A5B0,2024-10-24,Pangolin,scales,7,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Not Seized,13.54833,80.5791,NET-01
INC-17AA367E,2024-11-02,Rhino,horn,4,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-DUP-0003,Not Seized,12.76414,80.29586,
INC-B340A50F,2024-11-18,Rhino,horn,23,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-516B220E,Not Seized,17.52787,82.83197,NET-03
INC-F8517BB9,2024-12-01,Pangolin,scales,1,Visakhapatnam,Dar es Salaam,RTE-5CFE009F,ACT-8D60BEB9,Seized,18.01572,82.75551,
INC-3C7F2D1E,2024-12-08,Pangolin,scales,5,Tuticorin Port,Maputo,RTE-15641305,ACT-D404B1E6,Not Seized,9.13495,78.08011,
INC-A90DF55B,2024-12-15,Leopard,skin,5,Chennai Port,Dar es Salaam,RTE-05837773,ACT-F70E04EC,Under Investigation,12.95757,80.05641,
INC-2005D018,2024-12-16,Rhino,horn,15,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-DC4BFFE4,Seized,17.67625,83.70415,NET-03
INC-CD369185,2024-12-16,Rhino,horn,2,Mumbai Port,Durban,RTE-7C3E668E,ACT-D404B1E6,Not Seized,18.89209,72.85979,
INC-9E289A1E,2024-12-21,Pangolin,scales,4,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-A9F1176D,Seized,19.27478,73.03137,NET-05
INC-4BCBFFEF,2024-12-30,Pangolin,scales,8,Kochi Port,Maputo,RTE-844D2BD8,ACT-1DF99FFB,Not Seized,10.3455,75.88505,
INC-A8E89DAC,2025-01-02,Pangolin,scales,2,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-DUP-0002,Seized,12.93432,79.87212,
INC-9C66862F,2025-01-04,Elephant,ivory tusk,1,Mumbai Port,Dar es Salaam,RTE-15AFBAC8,ACT-34C1CDB5,Not Seized,19.06631,73.20908,
INC-B8872C0C,2025-01-05,Pangolin,scales,34,Visakhapatnam,Maputo,RTE-E5F5E120,ACT-A9F1176D,Not Seized,17.85837,83.23881,
INC-C080047C,2025-01-14,Pangolin,scales,14,Visakhapatnam,Dar es Salaam,RTE-CB7E8B4C,ACT-93684B5D,Under Investigation,17.58466,83.68797,
INC-9B509137,2025-01-23,Pangolin,scales,3,Visakhapatnam,Maputo,RTE-E5F5E120,ACT-0BE618C7,Not Seized,18.0034,83.15763,
INC-38A2513D,2025-01-24,Leopard,skin,20,Chennai Port,Mombasa,RTE-FDDFEF85,ACT-2F205955,Seized,13.19856,80.00366,
INC-62F9706C,2025-01-25,Pangolin,scales,5,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Seized,13.01465,80.06193,NET-01
INC-89C9D480,2025-01-27,Elephant,ivory tusk,6,Tuticorin Port,Maputo,RTE-15641305,ACT-480A6546,Under Investigation,8.493,77.71178,NET-02
INC-6E3D7227,2025-01-30,Pangolin,scales,1,Visakhapatnam,Mombasa,RTE-837DA83F,ACT-FD05814E,Seized,18.12403,83.40639,
INC-C331EBE5,2025-01-31,Rhino,horn,15,Tuticorin Port,Mombasa,RTE-C3C4BB2E,ACT-A9210483,Not Seized,8.85984,78.10638,
INC-10093B7D,2025-02-01,Pangolin,scales,14,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0002,Not Seized,18.56069,72.51655,
INC-1773DDC0,2025-02-14,Leopard,skin,20,Kochi Port,Maputo,RTE-844D2BD8,ACT-EBD0B65D,Seized,10.0081,76.25982,NET-04
INC-CFB16B32,2025-02-15,Rhino,horn,4,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-EA441661,Seized,17.742,83.24815,NET-03
INC-589AB78F,2025-02-16,Leopard,skin,3,Kochi Port,Maputo,RTE-844D2BD8,ACT-DUP-0002,Not Seized,9.74812,75.93679,NET-04
INC-94298C74,2025-02-18,Pangolin,scales,4,Mumbai Port,Maputo,RTE-DD5236CF,ACT-61CA522C,Not Seized,19.20031,72.95362,
INC-A87B0AD0,2025-02-24,Pangolin,scales,18,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A3B509D1,Not Seized,12.7661,80.07494,NET-01
INC-43C37A4A,2025-02-26,Leopard,skin,10,Kochi Port,Maputo,RTE-844D2BD8,ACT-EBD0B65D,Not Seized,9.46714,76.2329,NET-04
INC-515699A6,2025-02-28,Leopard,skin,1,Mumbai Port,Dar es Salaam,RTE-BE75B5F4,ACT-1D992B5E,Not Seized,19.16597,73.07811,
INC-30BA3CAE,2025-03-02,Pangolin,scales,19,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-5535B8FF,Not Seized,13.39816,80.47756,NET-01
INC-BE5B30E7,2025-03-02,Leopard,skin,4,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-DUP-0010,Seized,12.61886,80.07383,
INC-1531B1ED,2025-03-03,Pangolin,scales,1,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-A19B3B13,Not Seized,18.65898,73.01866,
INC-060C103D,2025-03-08,Pangolin,scales,44,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-6890BAC6,Not Seized,18.612,72.76925,NET-05
INC-9E823210,2025-03-08,Pangolin,scales,3,Tuticorin Port,Durban,RTE-3BE0D749,ACT-DBBBE5BC,Not Seized,8.75579,77.69901,
INC-B5390996,2025-03-20,Elephant,ivory tusk,2,Kochi Port,Maputo,RTE-E316C151,ACT-001930AF,Under Investigation,9.97392,76.0191,
INC-512A9B14,2025-03-23,Rhino,horn,9,Visakhapatnam,Maputo,RTE-5A7B190F,ACT-99F0286C,Under Investigation,17.26815,82.80334,
INC-CA1AE4F9,2025-03-23,Leopard,skin,16,Kochi Port,Maputo,RTE-844D2BD8,ACT-157A0D7D,Not Seized,9.99951,75.86097,NET-04
INC-BF83886D,2025-03-24,Leopard,skin,28,Kochi Port,Maputo,RTE-844D2BD8,ACT-9150A102,Not Seized,9.72479,76.57666,NET-04
INC-8946B5F9,2025-03-29,Elephant,ivory tusk,9,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0001,Seized,8.8875,77.9657,NET-02
INC-3A7D94EE,2025-03-29,Elephant,ivory tusk,11,Kochi Port,Durban,RTE-F534A60F,ACT-7353F8D0,Not Seized,10.42416,75.8411,
INC-D360954F,2025-04-03,Pangolin,scales,12,Chennai Port,Dar es Salaam,RTE-05837773,ACT-A19B3B13,Seized,12.9179,80.57355,
INC-5ECD4F9B,2025-04-04,Elephant,ivory tusk,4,Tuticorin Port,Dar es Salaam,RTE-BFA90C2B,ACT-40058B0F,Not Seized,8.79766,78.52869,
INC-41438DE4,2025-04-05,Pangolin,scales,13,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Not Seized,12.77868,79.81593,NET-01
INC-A5B18D16,2025-04-08,Leopard,skin,10,Mumbai Port,Dar es Salaam,RTE-B4CA579B,ACT-DUP-0006,Not Seized,18.58922,72.92953,
INC-A03A3F0C,2025-04-09,Elephant,ivory tusk,5,Visakhapatnam,Dar es Salaam,RTE-5CFE009F,ACT-F702EB53,Under Investigation,17.70987,83.07733,
INC-63DF534D,2025-04-13,Elephant,ivory tusk,6,Mumbai Port,Maputo,RTE-DD5236CF,ACT-0137B6D6,Seized,18.76399,73.10887,
INC-9DA78801,2025-04-14,Pangolin,scales,28,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-5535B8FF,Not Seized,13.1254,79.91162,NET-01
INC-8F5F24D4,2025-04-14,Rhino,horn,1,Visakhapatnam,Mombasa,RTE-01273A62,ACT-76F7BDE8,Under Investigation,17.68952,82.95071,
INC-D6764190,2025-04-15,Leopard,skin,5,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0009,Not Seized,19.26487,73.11743,
INC-48AB8F6C,2025-04-19,Rhino,horn,7,Visakhapatnam,Mombasa,RTE-32F0E94F,ACT-DC4BFFE4,Seized,17.77769,83.39606,NET-03
INC-7A465F5A,2025-04-24,Pangolin,scales,4,Visakhapatnam,Maputo,RTE-E5F5E120,ACT-6890BAC6,Not Seized,18.17346,82.861,
INC-3309C37C,2025-04-26,Pangolin,scales,1,Chennai Port,Dar es Salaam,RTE-22651175,ACT-6890BAC6,Not Seized,13.27817,80.15926,
INC-728F0959,2025-04-30,Leopard,skin,7,Kochi Port,Dar es Salaam,RTE-4424DBF1,ACT-A647D8DE,Not Seized,9.66115,75.9804,
INC-431E4BE0,2025-05-05,Pangolin,scales,7,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-5535B8FF,Not Seized,12.78237,80.28493,NET-01
INC-FF21C80A,2025-05-06,Elephant,ivory tusk,4,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-DUP-0008,Not Seized,13.14048,80.50135,
INC-9F36A672,2025-05-14,Leopard,skin,21,Tuticorin Port,Mombasa,RTE-C3C4BB2E,ACT-898A30A1,Not Seized,8.87037,77.86344,
INC-5F1EE080,2025-05-17,Rhino,horn,7,Kochi Port,Maputo,RTE-83C30583,ACT-F70E04EC,Not Seized,10.18574,75.87042,
INC-DC1DE291,2025-05-17,Elephant,ivory tusk,1,Tuticorin Port,Maputo,RTE-15641305,ACT-DUP-0007,Not Seized,9.14428,78.28568,
INC-05AA8387,2025-05-18,Elephant,ivory tusk,11,Mumbai Port,Maputo,RTE-D769322C,ACT-2D0BDD94,Not Seized,19.2561,72.78772,
INC-33BF5D05,2025-05-19,Elephant,ivory tusk,2,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-9DC49715,Not Seized,10.10771,75.98298,
INC-DF24931D,2025-05-24,Pangolin,scales,9,Tuticorin Port,Dar es Salaam,RTE-526A517F,ACT-F134FC9B,Not Seized,8.51291,78.25194,
INC-D3B016C3,2025-05-28,Pangolin,scales,41,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A3B509D1,Under Investigation,12.73869,79.82878,NET-01
INC-0EBE2272,2025-06-01,Pangolin,scales,4,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-DUP-0004,Not Seized,18.98442,73.27686,NET-05
INC-822AF71E,2025-06-01,Pangolin,scales,5,Visakhapatnam,Durban,RTE-D5B7DEF5,ACT-9DC49715,Not Seized,17.26,83.32195,
INC-BFF12B37,2025-06-02,Leopard,skin,6,Mumbai Port,Durban,RTE-5A090E6C,ACT-6AB623B4,Under Investigation,18.47823,73.04098,
INC-ACD8DFCD,2025-06-10,Elephant,ivory tusk,6,Visakhapatnam,Maputo,RTE-3623DB4A,ACT-F70E04EC,Not Seized,17.78219,82.78558,
INC-C54BDAF9,2025-06-10,Pangolin,scales,7,Mumbai Port,Dar es Salaam,RTE-BE75B5F4,ACT-0BE618C7,Seized,18.72584,72.95233,
INC-30714B3F,2025-06-24,Pangolin,scales,43,Mumbai Port,Mombasa,RTE-FB4EE4BA,ACT-DUP-0007,Not Seized,19.37903,72.91087,NET-05
INC-DABFAEBC,2025-06-26,Pangolin,scales,19,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-DUP-0001,Not Seized,13.16287,80.3043,
INC-C9972064,2025-06-29,Pangolin,scales,10,Kochi Port,Dar es Salaam,RTE-D37D6F20,ACT-DUP-0001,Seized,10.14932,76.72282,
INC-CDA89BFA,2025-06-30,Leopard,skin,42,Mumbai Port,Durban,RTE-5A090E6C,ACT-DUP-0010,Under Investigation,18.93576,73.32756,
INC-4E39810E,2025-07-01,Elephant,ivory tusk,4,Kochi Port,Dar es Salaam,RTE-4424DBF1,ACT-CA6408EB,Under Investigation,9.83205,76.22931,
INC-5A1D62F5,2025-07-14,Pangolin,scales,8,Chennai Port,Mombasa,RTE-F51C2F2E,ACT-A7290540,Seized,12.97138,80.04205,NET-01
INC-84D99EB6,2025-07-16,Rhino,horn,3,Visakhapatnam,Mombasa,RTE-EF6F0110,ACT-DUP-0008,Not Seized,17.97642,82.80971,
INC-F78CF454,2025-07-17,Elephant,ivory tusk,1,Mumbai Port,Mombasa,RTE-BEF74FCD,ACT-0D3A69A7,Not Seized,19.03564,72.66964,
INC-6D10E95C,2025-07-20,Leopard,skin,93,Visakhapatnam,Dar es Salaam,RTE-5CFE009F,ACT-61CA522C,Not Seized,18.0257,82.84316,
INC-47ED0F0D,2025-07-24,Pangolin,scales,53,Kochi Port,Durban,RTE-15E430E6,ACT-CFAB48FB,Not Seized,9.50634,76.49549,
