shipment_id,incident_id,actor_id,vehicle_id,transport_type,departure_date,arrival_date,shipment_weight,status
SHP-FE3FC439,INC-519C9B4B,ACT-130BC3BE,VEH-0D3D5473,Mixed,2024-04-30,2024-06-01,29.09,In Transit
SHP-ED54ABEC,INC-D394A13C,ACT-54264291,VEH-0051BCB6,Sea Freight,2024-05-02,2024-05-29,11.15,Intercepted
SHP-2249ADC5,INC-01E8CFE1,ACT-866A9666,VEH-9A32A5BD,Sea Freight,2024-05-04,2024-06-08,56.82,In Transit
SHP-969333B1,INC-F1B64D6B,ACT-B1A0AF66,VEH-8C4716E8,Air Cargo,2024-05-05,2024-05-30,131.33,Delivered
SHP-A99E072C,INC-7A314C1F,ACT-7494AE24,VEH-CA86CAF6,Air Cargo,2024-05-06,2024-06-02,99.17,Delivered
SHP-F9F219EF,INC-6D25D6CE,ACT-54264291,VEH-B5D8E814,Rail,2024-05-12,2024-06-19,27.33,Intercepted
SHP-736FF9A4,INC-78F43FAB,ACT-F0092B27,VEH-F1AF1ECA,Rail,2024-05-16,2024-06-23,126.68,Delayed
SHP-69620EA9,INC-4832DCE1,ACT-A647D8DE,VEH-8E8C7BFC,Sea Freight,2024-05-20,2024-06-11,37.86,In Transit
SHP-FB87F03C,INC-1D3F2B36,ACT-DUP-0001,VEH-58A0266E,Road,2024-05-21,2024-06-15,24.45,In Transit
SHP-4CF1CE63,INC-BD1CBF34,ACT-1DF99FFB,VEH-BA81F106,Road,2024-05-21,2024-06-03,19.07,Intercepted
SHP-345CB30B,INC-3B7B78A7,ACT-451B57E0,VEH-CF6FE00C,Rail,2024-05-30,2024-07-01,25.22,In Transit
SHP-A846B1D9,INC-3ED8334F,ACT-4B53C901,VEH-6D08839D,Road,2024-06-02,2024-07-15,23.35,Intercepted
SHP-AEFF55A7,INC-C1488574,ACT-DUP-0010,VEH-8C4716E8,Rail,2024-06-04,2024-06-15,38.6,Intercepted
SHP-BA3089B2,INC-EA003C6C,ACT-5535B8FF,VEH-6989DB09,Rail,2024-06-05,2024-06-19,38.26,Intercepted
SHP-0BBF51D8,INC-6E06FEF9,ACT-EB994163,VEH-B5D8E814,Air Cargo,2024-06-08,2024-07-06,33.21,Delivered
SHP-49BB104A,INC-D7D8E05F,ACT-72D14581,VEH-CE1D2BF3,Mixed,2024-06-08,2024-07-23,49.07,In Transit
SHP-C4C76684,INC-146BDA30,ACT-6F081E40,VEH-46969AFB,Road,2024-06-17,2024-06-26,96.7,Delayed
SHP-42E38DD4,INC-1E296D61,ACT-74B10513,VEH-D7A1FC4E,Mixed,2024-06-25,2024-08-04,77.84,Delivered
SHP-5459D155,INC-4C54C68E,ACT-0DD6E664,VEH-B5D8E814,Air Cargo,2024-06-26,2024-07-23,8.7,Delayed
SHP-3F5543CA,INC-D8942366,ACT-6890BAC6,VEH-09A8C518,Mixed,2024-06-27,2024-07-23,3.33,Delayed
SHP-9394A857,INC-FD6591F7,ACT-DUP-0002,VEH-17A9FDFD,Sea Freight,2024-07-01,2024-08-13,76.78,Intercepted
SHP-7070B5DE,INC-1F9B79FA,ACT-A3B509D1,VEH-D1F669CE,Rail,2024-07-03,2024-07-31,9.68,Intercepted
SHP-9A086720,INC-B7B4001A,ACT-DUP-0002,VEH-F1AF1ECA,Road,2024-07-06,2024-07-14,27.05,Delivered
SHP-DAB587CD,INC-BBF6FF7D,ACT-DUP-0003,VEH-3E4BA0D6,Air Cargo,2024-07-08,2024-07-18,11.55,Delayed
SHP-B9E8CF7F,INC-E2003313,ACT-1D7B2448,VEH-9A32A5BD,Mixed,2024-07-08,2024-07-24,6.54,In Transit
SHP-555C82F6,INC-F16B3BA6,ACT-99F0286C,VEH-42F5939A,Road,2024-07-12,2024-07-31,53.91,Delayed
SHP-A40B4E45,INC-C678EEF3,ACT-46D85523,VEH-3B9C1DE1,Rail,2024-07-15,2024-07-31,65.58,Delayed
SHP-AB129627,INC-5BEA51F2,ACT-A7290540,VEH-7815991E,Mixed,2024-07-19,2024-07-29,19.71,Intercepted
SHP-36251B83,INC-C431ADBC,ACT-83FE0258,VEH-3DBDDEB8,Road,2024-07-24,2024-08-30,3.22,Delivered
SHP-A171D20F,INC-F9FFB5E7,ACT-1B6D6C5C,VEH-A9908C11,Mixed,2024-08-01,2024-09-06,20.25,Intercepted
SHP-08F05C9A,INC-B8101499,ACT-DUP-0004,VEH-B4220363,Air Cargo,2024-08-08,2024-08-31,47.12,Delivered
SHP-694CB208,INC-8A267DEE,ACT-6E321CE4,VEH-6D08839D,Air Cargo,2024-08-10,2024-09-03,8.75,Intercepted
SHP-0F340728,INC-1D3FC12F,ACT-DUP-0006,VEH-C9C4D321,Road,2024-08-11,2024-09-05,39.06,Delayed
SHP-2BD751B4,INC-976F24FE,ACT-5B9A50EE,VEH-6D08839D,Road,2024-08-12,2024-09-10,32.66,In Transit
SHP-604F5BBE,INC-94B20477,ACT-ADF3339E,VEH-6EC350B3,Rail,2024-08-15,2024-09-27,55.78,Intercepted
SHP-831F68C7,INC-3911A5DD,ACT-C1CE62FB,VEH-F22B1F49,Road,2024-08-17,2024-09-02,36.88,In Transit
SHP-00AF7594,INC-42FE4868,ACT-B49444A6,VEH-B9296496,Rail,2024-08-17,2024-09-15,13.79,Delivered
SHP-318FEFF8,INC-00274222,ACT-7353F8D0,VEH-A9908C11,Mixed,2024-08-18,2024-09-06,97.21,Intercepted
SHP-344E093B,INC-1CDD4560,ACT-F513E9F2,VEH-58A0266E,Air Cargo,2024-08-18,2024-09-02,28.71,In Transit
SHP-1C49F306,INC-063C1F2C,ACT-8D60BEB9,VEH-386D9F56,Sea Freight,2024-08-22,2024-10-01,32.31,In Transit
SHP-02471ED0,INC-C34BD297,ACT-DUP-0001,VEH-46969AFB,Sea Freight,2024-08-23,2024-09-25,14.3,Delivered
SHP-ACCE6969,INC-D7628F86,ACT-C246476B,VEH-78002D47,Rail,2024-08-25,2024-09-01,22.22,Delayed
SHP-DCD040C9,INC-BF08DBB6,ACT-516B220E,VEH-39068AE2,Road,2024-08-28,2024-10-04,14.93,Intercepted
SHP-521D1E4A,INC-10F165CA,ACT-8D60BEB9,VEH-4FFBE26F,Mixed,2024-08-28,2024-09-07,28.34,In Transit
SHP-4BEC36D3,INC-D34E63D1,ACT-B62E0FB9,VEH-52CEF0A2,Sea Freight,2024-08-31,2024-09-18,154.55,Delayed
SHP-EE39978E,INC-1B2B6136,ACT-024E3B6A,VEH-16615E5D,Sea Freight,2024-09-01,2024-10-09,9.63,In Transit
SHP-09B41CF2,INC-37F58A26,ACT-E039AAEB,VEH-CE4C3B2A,Road,2024-09-03,2024-09-29,7.75,Intercepted
SHP-9FB88120,INC-60F32002,ACT-DUP-0007,VEH-AA99CADF,Air Cargo,2024-09-06,2024-10-12,124.47,Delayed
SHP-3E661DF6,INC-A1D80761,ACT-A3B509D1,VEH-642110EA,Road,2024-09-12,2024-10-06,27.43,Delivered
SHP-CAEB3122,INC-FE7DD637,ACT-B49444A6,VEH-4FFBE26F,Air Cargo,2024-09-14,2024-10-20,18.13,In Transit
SHP-DD65543D,INC-C462BE8D,ACT-4B53C901,VEH-F22B1F49,Air Cargo,2024-09-15,2024-10-13,84.43,Delayed
SHP-B129FA13,INC-FE66FC1A,ACT-A19B3B13,VEH-CE1D2BF3,Sea Freight,2024-09-26,2024-10-30,19.2,Delayed
SHP-DF886655,INC-F7233FDE,ACT-6F081E40,VEH-E779DE2C,Rail,2024-09-27,2024-10-10,171.3,Intercepted
SHP-B8E24C1C,INC-2C70FAE0,ACT-8F24BB27,VEH-6989DB09,Rail,2024-09-27,2024-10-19,60.95,Delivered
SHP-9F339087,INC-CE3FC3E6,ACT-A05EB96B,VEH-66E3BDFD,Road,2024-09-28,2024-11-02,21.35,In Transit
SHP-E1406A3B,INC-BD8D0EED,ACT-01EA26A9,VEH-AA99CADF,Air Cargo,2024-09-29,2024-10-22,230.81,In Transit
SHP-86270B99,INC-E52BE33F,ACT-D2CB78D6,VEH-A14E5F6F,Air Cargo,2024-10-02,2024-10-16,19.2,Delayed
SHP-ED2AB82B,INC-C23A7161,ACT-F134FC9B,VEH-E02E6FFD,Road,2024-10-07,2024-11-15,64.58,Intercepted
SHP-4CB8D98C,INC-37FAC3CA,ACT-1DF99FFB,VEH-C5004365,Rail,2024-10-13,2024-11-03,43.35,Delivered
SHP-7087B26B,INC-503191E9,ACT-FD05814E,VEH-E8E1B36D,Rail,2024-10-22,2024-11-27,106.87,Delayed
SHP-8D5BAE35,INC-8EB5B84D,ACT-3FD962A7,VEH-8E8C7BFC,Mixed,2024-10-23,2024-12-03,135.01,In Transit
SHP-FA91465E,INC-18B3A5B0,ACT-01EA26A9,VEH-3030EB47,Sea Freight,2024-10-24,2024-12-03,34.08,In Transit
SHP-8C8F0EA5,INC-17AA367E,ACT-DUP-0010,VEH-78002D47,Air Cargo,2024-11-02,2024-11-12,16.81,Delivered
SHP-781FC354,INC-B340A50F,ACT-DD3ED62E,VEH-52CEF0A2,Sea Freight,2024-11-18,2024-12-05,50.1,Delivered
SHP-EC2A18FD,INC-F8517BB9,ACT-F0092B27,VEH-875537E2,Mixed,2024-12-01,2025-01-14,17.99,Delayed
SHP-4F4C8F3E,INC-3C7F2D1E,ACT-61CA522C,VEH-D7A1FC4E,Mixed,2024-12-08,2024-12-18,202.77,Delayed
SHP-51692065,INC-A90DF55B,ACT-0270A250,VEH-CE4C3B2A,Mixed,2024-12-15,2025-01-20,37.45,Delayed
SHP-03A17425,INC-2005D018,ACT-F20CA79B,VEH-D1F669CE,Rail,2024-12-16,2025-01-11,23.84,Intercepted
SHP-C2856960,INC-CD369185,ACT-71CD333C,VEH-8E8C7BFC,Sea Freight,2024-12-16,2024-12-23,39.1,Delayed
SHP-65C92A58,INC-9E289A1E,ACT-28E1066F,VEH-AA99CADF,Mixed,2024-12-21,2025-01-19,9.85,In Transit
SHP-33C1D724,INC-4BCBFFEF,ACT-1D7B2448,VEH-FC911057,Road,2024-12-30,2025-01-10,13.81,Delayed
SHP-72087970,INC-A8E89DAC,ACT-B1A0AF66,VEH-7815991E,Road,2025-01-02,2025-01-20,97.55,Delayed
SHP-DB3E980E,INC-9C66862F,ACT-83FE0258,VEH-55A72D76,Sea Freight,2025-01-04,2025-02-08,18.33,Delivered
SHP-1D03FA80,INC-B8872C0C,ACT-B62E0FB9,VEH-F7F36C05,Mixed,2025-01-05,2025-02-03,12.91,Delayed
SHP-8E404399,INC-C080047C,ACT-DBBBE5BC,VEH-0D3D5473,Sea Freight,2025-01-14,2025-02-23,53.68,In Transit
SHP-A8F83E8C,INC-9B509137,ACT-F702EB53,VEH-A14E5F6F,Mixed,2025-01-23,2025-02-18,96.27,Delayed
SHP-B3302155,INC-38A2513D,ACT-480A6546,VEH-9A32A5BD,Road,2025-01-24,2025-02-14,63.25,Delivered
SHP-046FD31D,INC-62F9706C,ACT-A3B509D1,VEH-6989DB09,Sea Freight,2025-01-25,2025-02-18,81.16,Delayed
SHP-8EE221E1,INC-89C9D480,ACT-46D85523,VEH-C5004365,Sea Freight,2025-01-27,2025-02-04,16.76,In Transit
SHP-AEC4BBAF,INC-6E3D7227,ACT-BDA5B9AD,VEH-46969AFB,Mixed,2025-01-30,2025-03-16,9.21,In Transit
SHP-1764D6CB,INC-C331EBE5,ACT-72D14581,VEH-B5D8E814,Rail,2025-01-31,2025-02-22,127.89,Delivered
SHP-C51A7746,INC-10093B7D,ACT-0270A250,VEH-8E8C7BFC,Air Cargo,2025-02-01,2025-03-14,24.77,Intercepted
SHP-51721771,INC-1773DDC0,ACT-0DD6E664,VEH-4FFBE26F,Mixed,2025-02-14,2025-03-07,26.42,Intercepted
SHP-95763CFB,INC-CFB16B32,ACT-866A9666,VEH-52CEF0A2,Mixed,2025-02-15,2025-03-09,109.44,Delivered
SHP-A213EB76,INC-589AB78F,ACT-5B9A50EE,VEH-89A02B74,Sea Freight,2025-02-16,2025-03-21,54.63,Delivered
SHP-2B1601B3,INC-94298C74,ACT-DUP-0007,VEH-6D08839D,Sea Freight,2025-02-18,2025-03-24,49.91,Intercepted
SHP-FF0B55B6,INC-A87B0AD0,ACT-0DD6E664,VEH-F1AF1ECA,Rail,2025-02-24,2025-03-27,232.41,Delayed
SHP-984EEFE9,INC-43C37A4A,ACT-83FE0258,VEH-89A02B74,Air Cargo,2025-02-26,2025-03-14,18.56,Delayed
SHP-9525286E,INC-515699A6,ACT-6E321CE4,VEH-386D9F56,Air Cargo,2025-02-28,2025-03-22,76.33,Delayed
SHP-86BDC87F,INC-30BA3CAE,ACT-93684B5D,VEH-F1AF1ECA,Rail,2025-03-02,2025-03-12,34.86,Delivered
SHP-A03C41FC,INC-BE5B30E7,ACT-B49444A6,VEH-9A32A5BD,Air Cargo,2025-03-02,2025-04-02,42.17,Intercepted
SHP-5427CD63,INC-1531B1ED,ACT-130BC3BE,VEH-8B42C37D,Sea Freight,2025-03-03,2025-03-15,131.06,Delivered
SHP-541EFB13,INC-060C103D,ACT-83FE0258,VEH-58A0266E,Mixed,2025-03-08,2025-03-18,52.3,In Transit
SHP-9A1FB98A,INC-9E823210,ACT-1D992B5E,VEH-642110EA,Rail,2025-03-08,2025-03-19,53.76,Delivered
SHP-E73CFE3D,INC-B5390996,ACT-20D0E245,VEH-17A9FDFD,Air Cargo,2025-03-20,2025-04-17,86.94,Delivered
SHP-70623C78,INC-512A9B14,ACT-6AB623B4,VEH-7DDE0FB2,Mixed,2025-03-23,2025-04-06,23.84,Delivered
SHP-9D4F0DBB,INC-CA1AE4F9,ACT-34C1CDB5,VEH-42F5939A,Road,2025-03-23,2025-04-24,15.56,Delayed
SHP-19CBFA22,INC-BF83886D,ACT-CFAB48FB,VEH-4FFBE26F,Road,2025-03-24,2025-04-29,12.93,Intercepted
SHP-4E69BD63,INC-8946B5F9,ACT-DUP-0008,VEH-B5D8E814,Rail,2025-03-29,2025-04-28,5.64,In Transit
SHP-160559C9,INC-3A7D94EE,ACT-46D85523,VEH-2B492B5D,Road,2025-03-29,2025-05-05,210.73,Intercepted
SHP-637C9DF9,INC-D360954F,ACT-CA6408EB,VEH-B5D8E814,Air Cargo,2025-04-03,2025-05-06,12.27,In Transit
SHP-D19B979C,INC-5ECD4F9B,ACT-802FEC44,VEH-78002D47,Road,2025-04-04,2025-04-27,27.14,Delivered
SHP-D2AFBA8D,INC-41438DE4,ACT-001930AF,VEH-3030EB47,Rail,2025-04-05,2025-04-24,25.81,Delivered
SHP-1E8E4636,INC-A5B18D16,ACT-6890BAC6,VEH-78002D47,Road,2025-04-08,2025-05-16,43.67,Delayed
SHP-F5A6E640,INC-A03A3F0C,ACT-9DC49715,VEH-D7A1FC4E,Road,2025-04-09,2025-05-17,69.0,Delivered
SHP-9B9C50D2,INC-63DF534D,ACT-DUP-0006,VEH-6EC350B3,Air Cargo,2025-04-13,2025-04-28,71.84,In Transit
SHP-68D7EA6D,INC-9DA78801,ACT-BEF7869A,VEH-6989DB09,Sea Freight,2025-04-14,2025-05-24,19.59,In Transit
SHP-1F12B1C4,INC-8F5F24D4,ACT-8D60BEB9,VEH-7815991E,Sea Freight,2025-04-14,2025-05-17,28.49,Delivered
SHP-B51AB91E,INC-D6764190,ACT-DUP-0010,VEH-8E8C7BFC,Rail,2025-04-15,2025-04-22,42.71,Intercepted
SHP-0951793D,INC-48AB8F6C,ACT-DUP-0004,VEH-D1F669CE,Rail,2025-04-19,2025-04-29,26.47,In Transit
SHP-12ED5200,INC-7A465F5A,ACT-93684B5D,VEH-A9908C11,Sea Freight,2025-04-24,2025-05-01,140.7,In Transit
SHP-44B3B5AB,INC-3309C37C,ACT-516B220E,VEH-52246933,Sea Freight,2025-04-26,2025-06-05,51.52,Delayed
SHP-BECA12D0,INC-728F0959,ACT-5535B8FF,VEH-58A0266E,Mixed,2025-04-30,2025-05-18,64.16,Delivered
SHP-204B9F67,INC-431E4BE0,ACT-2BB3216C,VEH-6989DB09,Road,2025-05-05,2025-05-27,60.14,Intercepted
SHP-BD8283B7,INC-FF21C80A,ACT-FD05814E,VEH-89A02B74,Rail,2025-05-06,2025-06-07,95.21,Delayed
SHP-70AE6536,INC-9F36A672,ACT-DBBBE5BC,VEH-9A32A5BD,Road,2025-05-14,2025-06-26,38.97,In Transit
SHP-FC63FDF9,INC-5F1EE080,ACT-8AF11CFA,VEH-4FFBE26F,Rail,2025-05-17,2025-05-26,10.31,Delayed
SHP-34AF2596,INC-DC1DE291,ACT-0270A250,VEH-FC911057,Sea Freight,2025-05-17,2025-06-28,47.45,Delivered
SHP-5677DECA,INC-05AA8387,ACT-6C6CC66E,VEH-6A29C4F6,Road,2025-05-18,2025-05-30,18.43,In Transit
SHP-9C1086EF,INC-33BF5D05,ACT-001930AF,VEH-B5D8E814,Air Cargo,2025-05-19,2025-06-28,20.58,Delayed
SHP-100FDFEE,INC-DF24931D,ACT-BEF7869A,VEH-B5D8E814,Road,2025-05-24,2025-06-17,56.13,In Transit
SHP-F9753D9E,INC-D3B016C3,ACT-8A3A138F,VEH-3030EB47,Air Cargo,2025-05-28,2025-06-15,100.93,Delivered
SHP-08880AD4,INC-0EBE2272,ACT-6E321CE4,VEH-74BDC153,Air Cargo,2025-06-01,2025-07-03,33.76,Delivered
SHP-373FBD6A,INC-822AF71E,ACT-A05EB96B,VEH-8C4716E8,Rail,2025-06-01,2025-07-14,43.73,Delivered
SHP-342DBA69,INC-BFF12B37,ACT-4DBAB638,VEH-BDB5EE5C,Sea Freight,2025-06-02,2025-06-14,153.24,In Transit
SHP-5C01DD7D,INC-ACD8DFCD,ACT-BEF7869A,VEH-F2D4B468,Road,2025-06-10,2025-07-14,41.13,Delayed
SHP-9B4B6663,INC-C54BDAF9,ACT-7353F8D0,VEH-C5004365,Rail,2025-06-10,2025-07-07,344.3,Delayed
SHP-91BA0B9E,INC-30714B3F,ACT-83FE0258,VEH-58A0266E,Rail,2025-06-24,2025-07-15,55.09,Delivered
SHP-17E3C765,INC-DABFAEBC,ACT-2D0BDD94,VEH-55A72D76,Mixed,2025-06-26,2025-08-09,6.79,Intercepted
SHP-BD97C92A,INC-C9972064,ACT-2D0BDD94,VEH-42F5939A,Road,2025-06-29,2025-07-21,65.24,Delivered
SHP-F16C7474,INC-CDA89BFA,ACT-A8B80500,VEH-E89C1A00,Road,2025-06-30,2025-07-31,46.67,Intercepted
SHP-93C6F31B,INC-4E39810E,ACT-5BCEA423,VEH-4FFBE26F,Road,2025-07-01,2025-07-14,105.72,Delayed
SHP-31D2CDD4,INC-5A1D62F5,ACT-3EC2CAB2,VEH-3030EB47,Air Cargo,2025-07-14,2025-08-13,60.7,In Transit
SHP-33A77D7F,INC-84D99EB6,ACT-BDA5B9AD,VEH-BA81F106,Mixed,2025-07-16,2025-08-03,29.24,Delayed
SHP-E5FF13AF,INC-F78CF454,ACT-157A0D7D,VEH-C5004365,Road,2025-07-17,2025-07-30,11.0,In Transit
SHP-09C56BB0,INC-6D10E95C,ACT-A19B3B13,VEH-E732151D,Rail,2025-07-20,2025-09-03,27.44,In Transit
SHP-D1B9C768,INC-47ED0F0D,ACT-A8B80500,VEH-3B9C1DE1,Sea Freight,2025-07-24,2025-08-18,15.4,Delivered
SHP-454D5CBA,INC-116281CC,ACT-9DC49715,VEH-93BBC0AE,Rail,2025-07-26,2025-09-07,19.64,Delivered
SHP-DB6C3FD9,INC-32716F42,ACT-525CFB31,VEH-66E3BDFD,Road,2025-08-01,2025-08-16,56.25,Delayed
SHP-E0FC9E15,INC-E93DC79B,ACT-CAA8911E,VEH-D1F669CE,Rail,2025-08-05,2025-08-21,148.85,Intercepted
SHP-D3CD56CA,INC-2E288468,ACT-DUP-0004,VEH-52CEF0A2,Sea Freight,2025-08-13,2025-09-15,47.24,Intercepted
SHP-968B6A64,INC-5190CCE5,ACT-DUP-0007,VEH-9A32A5BD,Mixed,2025-08-14,2025-09-06,11.29,Delivered
SHP-30B2ECE5,INC-9FA1225A,ACT-1DF99FFB,VEH-58A0266E,Road,2025-08-15,2025-09-20,49.41,In Transit
SHP-06E856BF,INC-9C8F005B,ACT-ADF3339E,VEH-852A02ED,Road,2025-08-17,2025-09-18,97.22,Delayed
SHP-C3F07211,INC-60A75744,ACT-1DF99FFB,VEH-BA81F106,Road,2025-09-04,2025-10-02,19.13,Intercepted
SHP-FBAFAAF4,INC-CDEF77A9,ACT-DUP-0003,VEH-39068AE2,Road,2025-09-08,2025-10-23,29.35,Delivered
SHP-CED9D674,INC-6E8E7A45,ACT-024E3B6A,VEH-2B492B5D,Rail,2025-09-10,2025-10-12,33.56,Delivered
SHP-BBA04BFA,INC-CB5C41F5,ACT-020A968E,VEH-46969AFB,Rail,2025-09-14,2025-10-11,16.34,Intercepted
SHP-032115C8,INC-15FBD001,ACT-9FA63766,VEH-CE4C3B2A,Mixed,2025-09-19,2025-10-03,59.35,Delivered
SHP-FF07E7DD,INC-0CED375A,ACT-C48421F9,VEH-C5004365,Air Cargo,2025-09-25,2025-11-06,29.7,Delayed
SHP-CB4F1DEB,INC-4C48EFFC,ACT-0E08ABDD,VEH-D1F669CE,Rail,2025-09-26,2025-10-21,48.31,Delivered
SHP-043BFBE2,INC-F9BF0F1F,ACT-2BB3216C,VEH-0051BCB6,Air Cargo,2025-09-30,2025-10-26,14.9,Delayed
SHP-E9C74834,INC-BFB5BBA3,ACT-BDA5B9AD,VEH-42F5939A,Mixed,2025-10-06,2025-11-06,22.34,Delayed
SHP-120F9E78,INC-DDF4BE8C,ACT-DUP-0010,VEH-AEAA3C74,Rail,2025-10-07,2025-11-20,63.44,In Transit
SHP-4972C2A2,INC-613CD097,ACT-2D0BDD94,VEH-D1F669CE,Sea Freight,2025-10-08,2025-11-07,23.68,Delivered
SHP-EDA335C6,INC-5D101D0F,ACT-451B57E0,VEH-FACD8AF3,Mixed,2025-10-08,2025-11-06,156.69,Delayed
SHP-1ADA3D2B,INC-07FD8D0D,ACT-E039AAEB,VEH-BA81F106,Sea Freight,2025-10-14,2025-11-11,23.11,In Transit
SHP-18EB8CB2,INC-D4E686B3,ACT-CA6408EB,VEH-6989DB09,Rail,2025-10-22,2025-11-14,40.54,Intercepted
SHP-108859DF,INC-2C59B619,ACT-DUP-0009,VEH-89A02B74,Air Cargo,2025-10-22,2025-11-23,76.66,Intercepted
SHP-6249BD8F,INC-12FED95A,ACT-3EC2CAB2,VEH-7DDE0FB2,Road,2025-10-24,2025-11-01,9.24,Delayed
SHP-AC9163EC,INC-255C0F50,ACT-866A9666,VEH-AA99CADF,Road,2025-10-28,2025-11-09,6.79,Intercepted
SHP-8023A8A5,INC-741D3958,ACT-46D85523,VEH-D7A1FC4E,Mixed,2025-10-28,2025-11-25,8.39,Delayed
SHP-0C27626B,INC-15094649,ACT-5535B8FF,VEH-FC911057,Rail,2025-10-29,2025-11-27,103.16,Delayed
SHP-C579D3BF,INC-1798C080,ACT-6E321CE4,VEH-D1F669CE,Sea Freight,2025-11-01,2025-11-28,20.15,In Transit
