target_type,target_id,risk_score,intelligence_confidence,investigation_priority,trade_score,route_score,entity_score,linguistic_score,animal_score,cross_evidence_alignment,evidence_stream_count,evidence_streams,supporting_incidents,supporting_routes,supporting_actors,explanation
INCIDENT,INC-7EE564E7,58.63,70.29,MONITOR,67.24,80.62,27.76,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-7EE564E7,RTE-844D2BD8,ACT-0BE618C7,This incident exhibits risk indicators (score 58.6).
ACTOR,ACT-2F205955,58.27,73.55,MONITOR,44.62,89.47,36.65,38.33,0.0,15.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-0900EA33|INC-B0143C0C|INC-38A2513D|INC-DDF4BE8C,RTE-3623DB4A|RTE-FDDFEF85|RTE-15641305,ACT-2F205955,This actor exhibits risk indicators (score 58.3).
INCIDENT,INC-0BBF9870,58.23,68.97,MONITOR,70.0,84.44,67.45,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-0BBF9870,RTE-F51C2F2E,ACT-A3B509D1,This incident exhibits risk indicators (score 58.2).
INCIDENT,INC-D3B016C3,58.23,68.97,MONITOR,70.0,84.44,67.45,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-D3B016C3,RTE-F51C2F2E,ACT-A3B509D1,This incident exhibits risk indicators (score 58.2).
INCIDENT,INC-A87B0AD0,58.23,68.97,MONITOR,70.0,84.44,67.45,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-A87B0AD0,RTE-F51C2F2E,ACT-A3B509D1,This incident exhibits risk indicators (score 58.2).
INCIDENT,INC-41438DE4,58.22,66.52,MONITOR,70.0,84.44,14.05,20.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-41438DE4,RTE-F51C2F2E,ACT-A7290540,This incident exhibits risk indicators (score 58.2).
INCIDENT,INC-877EF9A7,57.82,67.36,MONITOR,82.24,80.62,57.39,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-877EF9A7,RTE-844D2BD8,ACT-DUP-0010,This incident exhibits risk indicators (score 57.8).
ACTOR,ACT-516B220E,57.54,71.81,MONITOR,51.47,73.57,11.35,63.82,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-A8C18B51|INC-F315480D|INC-D34E63D1|INC-B340A50F|INC-50FDFD5C|INC-7FA21422,RTE-EFEFC83E|RTE-EA4FA88B|RTE-32F0E94F|RTE-22651175,ACT-516B220E,This actor exhibits risk indicators (score 57.5) with coded communication signals detected in associated messages.
INCIDENT,INC-48A7B2CB,57.42,76.33,MONITOR,58.97,57.25,68.47,24.0,0.0,25.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-48A7B2CB,RTE-5A090E6C,ACT-DUP-0004,This incident exhibits risk indicators (score 57.4).
ACTOR,ACT-6F081E40,57.32,72.75,MONITOR,43.58,65.31,19.6,81.05,0.0,30.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-F3B15553|INC-A82CC362|INC-1890EF7F|INC-B23B2358|INC-EE63DD43|INC-E5D4001B,RTE-15E430E6|RTE-FB4EE4BA,ACT-6F081E40,This actor exhibits risk indicators (score 57.3) with coded communication signals detected in associated messages.
ROUTE,RTE-C3C4BB2E,57.25,75.43,MONITOR,39.85,36.63,55.89,85.0,0.0,50.0,4,TRADE|ROUTE|ENTITY|LINGUISTIC,INC-60CEEFAB|INC-78F43FAB|INC-FD6591F7|INC-C331EBE5|INC-9F36A672|INC-116281CC|INC-E2775A7D|INC-8F3C31BD,RTE-C3C4BB2E,ACT-866A9666|ACT-16E31CC7|ACT-A9210483|ACT-7494AE24|ACT-898A30A1,This route exhibits risk indicators (score 57.3) with coded communication signals detected in associated messages.
INCIDENT,INC-94B20477,57.19,66.34,MONITOR,68.62,88.53,55.99,0.0,0.0,25.0,3,TRADE|ROUTE|ENTITY,INC-94B20477,RTE-15641305,ACT-DUP-0002,This incident exhibits risk indicators (score 57.2).
INCIDENT,INC-8701EC71,56.93,67.2,MONITOR,68.62,88.53,60.92,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-8701EC71,RTE-15641305,ACT-DUP-0005,This incident exhibits risk indicators (score 56.9).
INCIDENT,INC-17AA367E,56.82,68.58,MONITOR,70.0,84.44,64.71,0.0,0.0,15.0,3,TRADE|ROUTE|ENTITY,INC-17AA367E,RTE-F51C2F2E,ACT-DUP-0003,This incident exhibits risk indicators (score 56.8).
